VIN,year,model,description,certified,convertible,M,Mileage,Location,interior,exterior,engine,fuel,transmission,drivetrain,mpg_hw,mpg_city,driving_assistance,executive,luxury_rear_seating,M_sport,price
5UXTY3C00M9E16636,2021,X3,X3 sDrive30i,0,0,0,1775,CA,Canberra Beige/Black SensaTec,Jet Black,I-4 cyl,Other,Automatic,Other,29,25,0,0,0,0,43599
5UXTY3C00M9E58417,2021,X3,X3 sDrive30i,0,0,0,1691,CA,Canberra Beige/Black SensaTec,Dark Graphite Metallic,I-4 cyl,Other,Automatic,Other,29,25,0,0,0,0,45499
5UXTY3C00M9E60815,2021,X3,X3 sDrive30i,0,0,0,1301,CA,Canberra Beige/Black SensaTec,Jet Black,I-4 cyl,Other,Automatic,Other,29,25,0,0,0,0,43499
5UXTY3C07M9E58608,2021,X3,X3 sDrive30i,0,0,0,819,CA,Canberra Beige/Black SensaTec,Alpine White,I-4 cyl,Other,Automatic,Other,29,25,0,0,0,0,44499
5UXTY3C09M9E58870,2021,X3,X3 sDrive30i,0,0,0,1303,CA,Canberra Beige/Black SensaTec,Black Sapphire Metallic,I-4 cyl,Other,Automatic,Other,29,25,0,0,0,0,45499
5UXXW7C50J0W64182,2018,X4,X4 M40i,1,0,1,33269,CA,Black Nevada Leather,Glacier Silver Metallic,I-6 cyl,Other,Automatic,AWD,25,18,1,0,0,1,39899
WBA4J1C54JBG75643,2018,4 Series,430i Gran Coupe,1,0,0,16615,CA,Black SensaTec,Alpine White,I-4 cyl,Other,Automatic,RWD,34,24,0,0,0,0,29999
WBA4J1C58JBM11662,2018,4 Series,430i Gran Coupe,1,0,0,34776,CA,Black SensaTec,Alpine White,I-4 cyl,Other,Automatic,RWD,34,24,0,0,0,1,29799
WBA5P7C04MFJ91959,2021,3 Series,330e Sedan,0,0,0,22,CA,Black SensaTec,Mineral White Metallic,I-4 cyl,Other,Automatic,RWD,–,–,0,0,0,0,45999
WBA7E2C52JG741548,2018,7 Series,740i Sedan,1,0,0,29511,CA,Mocha Nappa Leather,Magellan Gray Metallic,I-6 cyl,Other,Automatic,RWD,29,21,1,1,0,0,43499
WBA8B3G54JNV01426,2018,3 Series,340i Sedan SA,1,0,0,14341,CA,Black Dak Lthr w/ Oyster hglgt,Mineral Grey Metallic,I-6 cyl,Other,Automatic,RWD,32,21,0,0,0,0,33999
WBA8J1C32HA018756,2017,3 Series,328d xDrive Sports Wagon,1,0,0,17518,CA,Black SensaTec/Red Stitching,Alpine White,I-4 cyl,Diesel,Automatic,AWD,40,30,1,0,0,0,36999
WBAJA5C59JG899145,2018,5 Series,530i Sedan,1,0,0,38323,CA,Black Dakota Leather,Dark Graphite Metallic,I-4 cyl,Other,Automatic,RWD,34,24,1,0,0,0,29699
WBAJA9C58JB249825,2018,5 Series,530e iPerformance,1,0,0,35283,CA,Black Dakota Leather,Black Sapphire Metallic,I-4 cyl,Other,Automatic,RWD,–,–,0,0,0,0,30599
WBAJE5C56JG917511,2018,5 Series,540i Sedan,1,0,0,33177,CA,Black Dakota Leather,Black Sapphire Metallic,I-6 cyl,Other,Automatic,RWD,30,21,0,0,0,0,34699
